bookingtype,bookingdate,status,timeslot,duration,price,facility,theme,servicename,servicetype
Birthday Party,29-05-2025,Pending,NULL,NULL,182.06,Party Room,Superhero,Party Room,Birthday Party
Birthday Party,10-05-2025,Confirmed,11:00:00,45,278.07,Party Room,Sports,Party Room,Facility
Birthday Party,23-04-2025,Confirmed,NULL,NULL,282.96,Party Room,Princess,Party Room,Facility
Birthday Party,11-06-2025,Pending,NULL,NULL,198.3,Play Area,Princess,Play Area,Birthday Party
Birthday Party,10-06-2025,Pending,09:00:00,120,135.43,Play Area,Princess,Play Area,Facility
Birthday Party,29-05-2025,Pending,16:00:00,45,18.07,Play Area,Princess,Play Area,Birthday Party
Birthday Party,10-05-2025,Pending,13:00:00,45,296.34,Play Area,Superhero,Play Area,Birthday Party
Birthday Party,01-05-2025,Pending,17:00:00,45,19.06,Party Room,Superhero,Party Room,Birthday Party
Birthday Party,15-05-2025,Confirmed,10:00:00,45,254.36,Play Area,Sports,Play Area,Facility
Birthday Party,10-06-2025,Confirmed,12:00:00,90,195.14,Play Area,Princess,Play Area,Birthday Party
Birthday Party,13-06-2025,Confirmed,12:00:00,45,280.1,Party Room,Superhero,Party Room,Birthday Party
Birthday Party,16-05-2025,Pending,17:00:00,120,260.1,Party Room,Princess,Party Room,Birthday Party
Birthday Party,17-06-2025,Confirmed,NULL,NULL,18.51,Party Room,Sports,Party Room,Birthday Party
Birthday Party,22-04-2025,Pending,09:00:00,120,205.89,Party Room,Sports,Party Room,Birthday Party
Birthday Party,10-06-2025,Pending,10:00:00,120,82.11,Party Room,Sports,Party Room,Birthday Party
Birthday Party,08-04-2025,Pending,NULL,NULL,146.2,Play Area,Sports,Play Area,Birthday Party
Birthday Party,09-05-2025,Confirmed,10:00:00,120,47.49,Party Room,Princess,Party Room,Class
Birthday Party,26-04-2025,Confirmed,NULL,NULL,43.19,Play Area,Princess,Play Area,Class
Birthday Party,07-04-2025,Pending,NULL,NULL,18.58,Party Room,Superhero,Party Room,Birthday Party
Birthday Party,06-04-2025,Pending,14:00:00,120,286.6,Party Room,Superhero,Party Room,Birthday Party
Birthday Party,13-06-2025,Pending,16:00:00,90,80.9,Play Area,Princess,Play Area,Birthday Party
Birthday Party,03-05-2025,Pending,16:00:00,120,71.98,Play Area,Superhero,Play Area,Birthday Party
Birthday Party,23-04-2025,Confirmed,13:00:00,45,19.87,Party Room,Sports,Party Room,Class
Birthday Party,10-05-2025,Pending,16:00:00,120,278.4,Party Room,Superhero,Party Room,Birthday Party
Birthday Party,20-06-2025,Pending,13:00:00,45,166.99,Play Area,Superhero,Play Area,Birthday Party
Birthday Party,05-06-2025,Pending,15:00:00,90,244.52,Party Room,Sports,Party Room,Class
Birthday Party,17-06-2025,Pending,13:00:00,45,78.85,Party Room,Superhero,Party Room,Facility
Birthday Party,19-04-2025,Pending,12:00:00,90,190.31,Party Room,Sports,Party Room,Class
Birthday Party,27-04-2025,Confirmed,10:00:00,120,131.05,Play Area,Sports,Play Area,Facility
Birthday Party,13-06-2025,Pending,NULL,NULL,35.19,Party Room,Sports,Party Room,Birthday Party
Birthday Party,12-06-2025,Confirmed,14:00:00,120,209.84,Play Area,Superhero,Play Area,Birthday Party
Birthday Party,15-06-2025,Confirmed,16:00:00,90,231.49,Party Room,Superhero,Party Room,Class
Birthday Party,29-04-2025,Pending,NULL,NULL,64.25,Play Area,Sports,Play Area,Class
Birthday Party,02-04-2025,Confirmed,NULL,NULL,22.61,Play Area,Sports,Play Area,Birthday Party
Birthday Party,23-05-2025,Confirmed,15:00:00,45,97.41,Play Area,Superhero,Play Area,Birthday Party
Birthday Party,26-05-2025,Pending,13:00:00,120,141.96,Party Room,Superhero,Party Room,Birthday Party
Birthday Party,28-05-2025,Pending,17:00:00,120,289.29,Party Room,Superhero,Party Room,Birthday Party
Birthday Party,18-04-2025,Confirmed,16:00:00,45,148.73,Play Area,Sports,Play Area,Birthday Party
Birthday Party,04-04-2025,Pending,13:00:00,90,56.25,Play Area,Sports,Play Area,Birthday Party
Birthday Party,03-05-2025,Pending,14:00:00,120,266.54,Play Area,Princess,Play Area,Facility
Birthday Party,30-03-2025,Pending,13:00:00,120,279.47,Party Room,Sports,Party Room,Birthday Party
Birthday Party,04-05-2025,Confirmed,NULL,NULL,20.36,Play Area,Superhero,Play Area,Birthday Party
Birthday Party,29-05-2025,Confirmed,NULL,NULL,113.24,Party Room,Princess,Party Room,Birthday Party
Birthday Party,13-04-2025,Confirmed,11:00:00,45,24.28,Party Room,Superhero,Party Room,Class
Birthday Party,21-04-2025,Pending,NULL,NULL,183.95,Play Area,Princess,Play Area,Class
Birthday Party,15-04-2025,Pending,09:00:00,45,131.73,Play Area,Sports,Play Area,Birthday Party
Birthday Party,05-05-2025,Confirmed,16:00:00,120,113.2,Play Area,Superhero,Play Area,Class
Birthday Party,03-04-2025,Pending,10:00:00,90,228.87,Party Room,Princess,Party Room,Birthday Party
Birthday Party,12-06-2025,Pending,14:00:00,120,84.7,Play Area,Superhero,Play Area,Birthday Party
Birthday Party,28-05-2025,Pending,14:00:00,120,34.89,Party Room,Sports,Party Room,Facility
Birthday Party,01-05-2025,Pending,15:00:00,90,146.02,Party Room,Sports,Party Room,Birthday Party
Birthday Party,18-05-2025,Confirmed,NULL,NULL,50.34,Party Room,Princess,Party Room,Birthday Party
Birthday Party,04-06-2025,Pending,09:00:00,45,216.99,Party Room,Superhero,Party Room,Class
Birthday Party,12-06-2025,Pending,09:00:00,45,262.05,Party Room,Princess,Party Room,Birthday Party
Birthday Party,01-06-2025,Confirmed,NULL,NULL,205.4,Play Area,Princess,Play Area,Birthday Party
Birthday Party,02-04-2025,Confirmed,10:00:00,90,105.56,Party Room,Sports,Party Room,Birthday Party
Birthday Party,22-05-2025,Confirmed,15:00:00,90,165.66,Play Area,Superhero,Play Area,Facility
Birthday Party,02-04-2025,Pending,09:00:00,45,224.86,Party Room,Sports,Party Room,Birthday Party
Birthday Party,05-05-2025,Pending,09:00:00,120,258.61,Play Area,Superhero,Play Area,Class
Birthday Party,17-05-2025,Confirmed,15:00:00,45,100.24,Party Room,Princess,Party Room,Birthday Party
Birthday Party,01-04-2025,Pending,17:00:00,120,263.4,Play Area,Superhero,Play Area,Birthday Party
Birthday Party,29-03-2025,Pending,16:00:00,120,176.4,Play Area,Superhero,Play Area,Birthday Party
Birthday Party,02-04-2025,Pending,16:00:00,90,88.13,Play Area,Sports,Play Area,Birthday Party
Birthday Party,19-04-2025,Confirmed,13:00:00,90,53.82,Party Room,Superhero,Party Room,Birthday Party
Birthday Party,31-03-2025,Confirmed,11:00:00,120,79.12,Party Room,Sports,Party Room,Class
Birthday Party,31-03-2025,Pending,12:00:00,120,169.19,Party Room,Princess,Party Room,Birthday Party
Birthday Party,01-06-2025,Confirmed,NULL,NULL,151.81,Party Room,Princess,Party Room,Birthday Party
Birthday Party,31-03-2025,Confirmed,12:00:00,120,133.09,Party Room,Superhero,Party Room,Class
Birthday Party,04-06-2025,Pending,10:00:00,45,242.16,Play Area,Superhero,Play Area,Birthday Party
Birthday Party,12-04-2025,Pending,NULL,NULL,99.44,Play Area,Sports,Play Area,Class
Birthday Party,28-03-2025,Confirmed,15:00:00,90,179.6,Play Area,Superhero,Play Area,Class
Birthday Party,19-06-2025,Pending,09:00:00,45,84.35,Play Area,Sports,Play Area,Class
Birthday Party,22-06-2025,Pending,14:00:00,90,79.6,Party Room,Superhero,Party Room,Birthday Party
Birthday Party,21-05-2025,Confirmed,16:00:00,90,138.61,Play Area,Superhero,Play Area,Birthday Party
Birthday Party,05-06-2025,Pending,NULL,NULL,194.89,Play Area,Princess,Play Area,Birthday Party
Birthday Party,31-03-2025,Confirmed,13:00:00,90,152.36,Play Area,Princess,Play Area,Birthday Party
Birthday Party,13-05-2025,Confirmed,14:00:00,45,299.14,Play Area,Superhero,Play Area,Class
Birthday Party,10-05-2025,Confirmed,12:00:00,90,40.73,Play Area,Superhero,Play Area,Birthday Party
Birthday Party,02-04-2025,Confirmed,15:00:00,120,207.27,Party Room,Princess,Party Room,Birthday Party
Birthday Party,18-05-2025,Pending,11:00:00,120,285.76,Play Area,Superhero,Play Area,Class
Birthday Party,10-05-2025,Confirmed,17:00:00,120,117.22,Party Room,Sports,Party Room,Birthday Party
Birthday Party,01-04-2025,Pending,NULL,NULL,231.74,Party Room,Superhero,Party Room,Birthday Party
Birthday Party,21-04-2025,Pending,NULL,NULL,61.41,Party Room,Superhero,Party Room,Birthday Party
Birthday Party,29-03-2025,Pending,NULL,NULL,18.38,Play Area,Princess,Play Area,Class
Birthday Party,12-06-2025,Pending,13:00:00,120,137.92,Party Room,Princess,Party Room,Facility
Birthday Party,20-04-2025,Confirmed,11:00:00,120,92.17,Party Room,Sports,Party Room,Birthday Party
Birthday Party,13-06-2025,Confirmed,12:00:00,45,174.52,Play Area,Superhero,Play Area,Birthday Party
Birthday Party,10-06-2025,Pending,NULL,NULL,263.96,Party Room,Princess,Party Room,Birthday Party
Birthday Party,11-04-2025,Confirmed,16:00:00,45,298.75,Party Room,Sports,Party Room,Birthday Party
Birthday Party,15-05-2025,Confirmed,17:00:00,45,236.75,Play Area,Sports,Play Area,Birthday Party
Birthday Party,06-05-2025,Confirmed,14:00:00,90,29.23,Play Area,Superhero,Play Area,Birthday Party
Birthday Party,22-06-2025,Confirmed,12:00:00,90,123.63,Party Room,Sports,Party Room,Birthday Party
Birthday Party,11-04-2025,Pending,NULL,NULL,121.24,Party Room,Sports,Party Room,Birthday Party
Birthday Party,04-05-2025,Confirmed,15:00:00,120,21.13,Play Area,Princess,Play Area,Birthday Party
